iem_abbr	call_index	iem_name	entrez_gene_ids	knockout_reaction_patterns	biomarker_reaction	vmh_metabolite	model_compartment	biofluid_tested	expected_direction	reported_biofluids_raw	label_raw	also_in_recon3d_branch	source_header_line	source_call_line	gene_symbols	unmapped_entrez	orpha_code	orpha_name	orpha_match_score	orpha_assoc_type	orpha_assoc_status	n_candidate_disorders	omim_ids	icd10	vmh_name	hmdb	chebi	kegg	hpo_check	hpo_evidence
3MCC	8	3-methylcrotonyl coA carboxylase deficiency	56922.1	_MCCCrm;_RE2453M;_RE2454M	EX_3hivac[u]	3hivac	u	urine	Increased	urine	Increased (urine)	False	407	428	MCCC1		6	3-methylcrotonyl-CoA carboxylase deficiency	0.977	Disease-causing germline mutation(s) in	Assessed	1	210200;210210	E71.1	3-Hydroxyisovaleric Acid				not_in_hpo_annotations	
CYP21D	9	CYP21D '21-hydroxylase deficiency	1589.1	_P45021A1r;_P45021A2r;_RE2155R;_21HPRGNLONE;_HMR_1940;_HMR_1948;_HMR_1988;_HMR_1990;_HMR_1992;_HMR_2007	DM_aldstrn[bc]	aldstrn	bc	blood	Increased	blood	Increased (blood)	False	430	480	CYP21A2		315306	Classic congenital adrenal hyperplasia due to 21-hydroxylase deficiency, salt wasting form	0.488	Disease-causing germline mutation(s) in	Assessed	2	201910	E25.0	Aldosterone	HMDB00037	CHEBI:27584	C01780	no_hpo_metabolite_term_for_disorder	
CYP21D	9	CYP21D '21-hydroxylase deficiency	1589.1	_P45021A1r;_P45021A2r;_RE2155R;_21HPRGNLONE;_HMR_1940;_HMR_1948;_HMR_1988;_HMR_1990;_HMR_1992;_HMR_2007	DM_crtsl[bc]	crtsl	bc	blood	Decreased	blood	Decreased (blood)	False	430	480	CYP21A2		315306	Classic congenital adrenal hyperplasia due to 21-hydroxylase deficiency, salt wasting form	0.488	Disease-causing germline mutation(s) in	Assessed	2	201910	E25.0	Cortisol	HMDB00063	CHEBI:17650	C00735	no_hpo_metabolite_term_for_disorder	
CYP21D	9	CYP21D '21-hydroxylase deficiency	1589.1	_P45021A1r;_P45021A2r;_RE2155R;_21HPRGNLONE;_HMR_1940;_HMR_1948;_HMR_1988;_HMR_1990;_HMR_1992;_HMR_2007	DM_prgstrn[bc]	prgstrn	bc	blood	Increased	blood	Increased (blood)	False	430	480	CYP21A2		315306	Classic congenital adrenal hyperplasia due to 21-hydroxylase deficiency, salt wasting form	0.488	Disease-causing germline mutation(s) in	Assessed	2	201910	E25.0	Progesterone	HMDB01830	CHEBI:17026	C00410	no_hpo_metabolite_term_for_disorder	
CYP21D	9	CYP21D '21-hydroxylase deficiency	1589.1	_P45021A1r;_P45021A2r;_RE2155R;_21HPRGNLONE;_HMR_1940;_HMR_1948;_HMR_1988;_HMR_1990;_HMR_1992;_HMR_2007	DM_andrstndn[bc]	andrstndn	bc	blood	Increased	blood	Increased (blood)	False	430	480	CYP21A2		315306	Classic congenital adrenal hyperplasia due to 21-hydroxylase deficiency, salt wasting form	0.488	Disease-causing germline mutation(s) in	Assessed	2	201910	E25.0	Androst-4-Ene-3,17-Dione	HMDB00053	CHEBI:16422	C00280	no_hpo_metabolite_term_for_disorder	
CYP21D	9	CYP21D '21-hydroxylase deficiency	1589.1	_P45021A1r;_P45021A2r;_RE2155R;_21HPRGNLONE;_HMR_1940;_HMR_1948;_HMR_1988;_HMR_1990;_HMR_1992;_HMR_2007	DM_andrstrn[bc]	andrstrn	bc	blood	Increased	blood	Increased (blood)	False	430	480	CYP21A2		315306	Classic congenital adrenal hyperplasia due to 21-hydroxylase deficiency, salt wasting form	0.488	Disease-causing germline mutation(s) in	Assessed	2	201910	E25.0	Androsterone	HMDB00031	CHEBI:16032	C00523	no_hpo_metabolite_term_for_disorder	
CYP21D	9	CYP21D '21-hydroxylase deficiency	1589.1	_P45021A1r;_P45021A2r;_RE2155R;_21HPRGNLONE;_HMR_1940;_HMR_1948;_HMR_1988;_HMR_1990;_HMR_1992;_HMR_2007	DM_dhea[bc]	dhea	bc	blood	Increased	blood	Increased (blood)	False	430	480	CYP21A2		315306	Classic congenital adrenal hyperplasia due to 21-hydroxylase deficiency, salt wasting form	0.488	Disease-causing germline mutation(s) in	Assessed	2	201910	E25.0	3Beta-Hydroxyandrost-5-En-17-One	HMDB00077	CHEBI:220467	C01227	no_hpo_metabolite_term_for_disorder	
HYCARO	10	Autosomal Dominant Hypercarotenemia And Vitamin A Deficiency	53630.1	_BCDO	DM_caro[bc]	caro	bc	blood	Increased	blood	Increased (blood)	False	482	511	BCO1		199285	Hereditary hypercarotenemia and vitamin A deficiency	0.768	Disease-causing germline mutation(s) (loss of function) in	Assessed	1	115300;277350	E50.8	Beta-Carotene				no_hpo_metabolite_term_for_disorder	
BTD	11	BTD Biotinidase Deficiency	686.1		DM_3ivcrn[bc]	3ivcrn	bc	blood	Increased	blood	Increased (blood)	False	513	574	BTD		79241	Biotinidase deficiency	0.917	Disease-causing germline mutation(s) in	Assessed	1	253260	E53.8	3-Hydroxy-Isovaleryl Carnitine				not_in_hpo_annotations	
BTD	11	BTD Biotinidase Deficiency	686.1		DM_acac[bc]	acac	bc	blood	Increased	blood	Increased (blood)	False	513	574	BTD		79241	Biotinidase deficiency	0.917	Disease-causing germline mutation(s) in	Assessed	1	253260	E53.8	Acetoacetate	HMDB00060	CHEBI:15344	C00164	not_in_hpo_annotations	
