reaction	name	rule	n_conditions_essential	conditions	genes
MCITL2	Methylisocitrate lyase	NP_743548_1 or NP_743667_1 or NP_744483_1	3	Sodium propionate;L-Valine;L-Isoleucine	PP1389: oxaloacetate decarboxylase || PP1510: carboxyvinyl-carboxyphosphonate phosphorylmutase || PP2334: 2-methylisocitrate lyase
ACOAD5f	Acyl-CoA dehydrogenase (dodecanoyl-CoA)	NP_742537_1 or NP_744048_1 or NP_744189_1 or NP_746885_1 or NP_747051_1	3	Lauric acid;Myristic acid;Oleic acid	PP0370: acyl-CoA dehydrogenase family protein || PP1893: medium-long chain acyl-CoA dehydrogenase || PP2039: acyl-CoA dehydrogenase || PP4780: acyl-CoA dehydrogenase || PP4948: acyl-CoA dehydrogenase family protein
ECOAH5	3-hydroxyacyl-CoA dehydratase (3-hydroxydodecanoyl-CoA)	NP_744000_1 or NP_744197_1 or NP_744285_1 or NP_744366_1 or NP_745858_1	3	Lauric acid;Myristic acid;Oleic acid	PP1845: enoyl-CoA hydratase/isomerase family protein || PP2047: 3-hydroxyacyl-CoA dehydrogenase family protein || PP2136: enoyl-CoA hydratase/3-hydroxyacyl-CoA dehydrogenase || PP2217: enoyl-CoA hydratase || PP3726: enoyl-CoA hydratase/isomerase family protein
ECOAH6	3-hydroxyacyl-CoA dehydratase (3-hydroxytetradecanoyl-CoA)	NP_744000_1 or NP_744197_1 or NP_744285_1 or NP_744366_1 or NP_745858_1	2	Myristic acid;Oleic acid	PP1845: enoyl-CoA hydratase/isomerase family protein || PP2047: 3-hydroxyacyl-CoA dehydrogenase family protein || PP2136: enoyl-CoA hydratase/3-hydroxyacyl-CoA dehydrogenase || PP2217: enoyl-CoA hydratase || PP3726: enoyl-CoA hydratase/isomerase family protein
VNDH_2	VNDH 2	NP_742826_1 or NP_745497_1	2	p-Coumaric acid;p-Coumaric acid	PP0665: glyceraldehyde-3-phosphate dehydrogenase || PP3357: vanillin dehydrogenase
OXOAEL	OXOAEL	NP_742716_1 or NP_743539_1	2	Protocatechuic Acid;4-Hydroxybenzoic Acid	PP0553: acetoin cleaving system dihydrolipoyllysine-residue acetyltransferase || PP1380: 3-oxoadipate enol-lactonase 2
ACOAD6f	Acyl-CoA dehydrogenase (tetradecanoyl-CoA)	NP_742537_1 or NP_744048_1 or NP_744189_1 or NP_746885_1 or NP_747051_1	2	Myristic acid;Oleic acid	PP0370: acyl-CoA dehydrogenase family protein || PP1893: medium-long chain acyl-CoA dehydrogenase || PP2039: acyl-CoA dehydrogenase || PP4780: acyl-CoA dehydrogenase || PP4948: acyl-CoA dehydrogenase family protein
GLCtex	Glucose transport via diffusion (extracellular to periplasm)	NP_743180_1 or NP_743603_1	2	D-Glucose;D-Glucose	PP1019: carbohydrate-selective porin || PP1445: carbohydrate-selective porin
IZPN	Imidazolonepropionase	NP_745338_1 or NP_747131_1	1	L-Histidine	PP3194: hypothetical protein PP_3194 || PP5030: imidazolonepropionase
FACOAL100t2pp	Fatty-acid-CoA ligase (decanoate transport via vectoral Co-A coupling)	NP_742924_1 or NP_744188_2 or NP_744362_1 or NP_744853_1 or NP_745596_1 or NP_746658_1 or NP_746659_1	1	Decanoic acid	PP0763: medium-chain-fatty acid CoA ligase || PP2038: long-chain-fatty-acid--CoA ligase || PP2213: acyl-CoA synthetase || PP2709: long-chain fatty acid--CoA ligase || PP3458: butyrate--CoA ligase || PP4549: long-chain-fatty acid--CoA ligase || PP4550: long-chain-fatty acid--CoA ligase
ACS2	ACS2	NP_744500_1 or NP_745215_1	1	Sodium propionate	PP2351: propionyl-CoA synthetase || PP3071: acetoacetyl-CoA synthetase
PPAtex	Propionate transport via diffusion	NP_743282_1 or NP_746315_1	1	Sodium propionate	PP1121: OmpA family protein || PP4198: OmpA family protein
4HBZtex	4HBZtex	NP_743282_1 or NP_746315_1	1	4-Hydroxybenzoic Acid	PP1121: OmpA family protein || PP4198: OmpA family protein
FACOAL80t2pp	Fatty-acid-CoA ligase (octanoate transport via vectoral Co-A coupling)	NP_742924_1 or NP_744188_2 or NP_744362_1 or NP_744853_1 or NP_745596_1 or NP_746658_1 or NP_746659_1	1	Octanoic acid	PP0763: medium-chain-fatty acid CoA ligase || PP2038: long-chain-fatty-acid--CoA ligase || PP2213: acyl-CoA synthetase || PP2709: long-chain fatty acid--CoA ligase || PP3458: butyrate--CoA ligase || PP4549: long-chain-fatty acid--CoA ligase || PP4550: long-chain-fatty acid--CoA ligase
CTECOAI8	3-cis-2-trans-enoyl-CoA isomerase	NP_744000_1 or NP_744197_1 or NP_745858_1 or NP_747122_1	1	Oleic acid	PP1845: enoyl-CoA hydratase/isomerase family protein || PP2047: 3-hydroxyacyl-CoA dehydrogenase family protein || PP3726: enoyl-CoA hydratase/isomerase family protein || PP5021: methyl-accepting chemotaxis transducer
ACACT8r	Acetyl-CoA acyltransferase (hexadecanoyl-CoA), (r)	NP_742745_1 or NP_745884_1	1	Oleic acid	PP0582: thiolase family protein || PP3754: beta-ketothiolase BktB
ECOAH8	3-hydroxyacyl-CoA dehydratase (3-hydroxyoctadecanoyl-CoA)	NP_744000_1 or NP_744197_1 or NP_745858_1	1	Oleic acid	PP1845: enoyl-CoA hydratase/isomerase family protein || PP2047: 3-hydroxyacyl-CoA dehydrogenase family protein || PP3726: enoyl-CoA hydratase/isomerase family protein
ECOAH7	3-hydroxyacyl-CoA dehydratase (3-hydroxyhexadecanoyl-CoA)	NP_744000_1 or NP_744197_1 or NP_744285_1 or NP_744366_1 or NP_745858_1	1	Oleic acid	PP1845: enoyl-CoA hydratase/isomerase family protein || PP2047: 3-hydroxyacyl-CoA dehydrogenase family protein || PP2136: enoyl-CoA hydratase/3-hydroxyacyl-CoA dehydrogenase || PP2217: enoyl-CoA hydratase || PP3726: enoyl-CoA hydratase/isomerase family protein
ACOAD7f	Acyl-CoA dehydrogenase (hexadecanoyl-CoA)	NP_742537_1 or NP_744048_1 or NP_744189_1 or NP_746885_1 or NP_747051_1	1	Oleic acid	PP0370: acyl-CoA dehydrogenase family protein || PP1893: medium-long chain acyl-CoA dehydrogenase || PP2039: acyl-CoA dehydrogenase || PP4780: acyl-CoA dehydrogenase || PP4948: acyl-CoA dehydrogenase family protein
ETOHtex	Ethanol transport via diffusion (extracellular to periplasm)	NP_743282_1 or NP_746315_1	1	Ethanol	PP1121: OmpA family protein || PP4198: OmpA family protein
MMTSAO	MMTSAO	NP_742760_1 or NP_746776_1	1	L-Valine	PP0597: methylmalonate-semialdehyde dehydrogenase || PP4667: methylmalonate-semialdehyde dehydrogenase
ACOADH2	ACOADH2	NP_745369_1 or NP_745857_1	1	L-Valine	PP3226: acyl-CoA dehydrogenase-related protein || PP3725: acyl-CoA dehydrogenase
ACOAD20	Acyl CoA dehydrogenase  2 methylbutnoyl CoA	NP_745369_1 or NP_745857_1	1	L-Isoleucine	PP3226: acyl-CoA dehydrogenase-related protein || PP3725: acyl-CoA dehydrogenase
ACtex	Acetate transport via diffusion (extracellular to periplasm)	NP_743282_1 or NP_746315_1	1	Potassium acetate	PP1121: OmpA family protein || PP4198: OmpA family protein
ABTA	4-aminobutyrate transaminase	NP_742382_1 or NP_746228_1	1	4-Aminobutyric acid	PP0214: 4-aminobutyrate aminotransferase || PP4108: 4-aminobutyrate aminotransferase
