reaction	reaction_name	rule	n_alternatives	flagged_genes	or_joined_subunits	score
RNTR1	Ribonucleoside triphosphate reductase  ATP	NP_810911_1 or NP_811981_1	2	BT3069 (disulfide-isomerase) — no word in common with the reaction name while another alternative has		1
RBFSa	Riboflavin synthase	NP_813164_2 or (NP_810230_1 and NP_813164_2)	2	BT4253 (6,7-dimethyl-8-ribityllumazine synthase) — no word in common with the reaction name while another alternative has		1
RBFSb	Riboflavin synthase	NP_813164_2 or (NP_810230_1 and NP_813164_2)	2	BT4253 (6,7-dimethyl-8-ribityllumazine synthase) — no word in common with the reaction name while another alternative has		1
RDXR	Rubredoxin oxidoreductase	(NP_809129_1 and NP_811347_1) or (NP_811347_1 and NP_811452_1)	2	BT0216 (rubrerythrin) — no word in common with the reaction name while another alternative has		1
RFAMPtpp	Rifampin transport via TolC system	(NP_809217_1 and NP_809218_1 and NP_809867_1) or (NP_809217_1 and NP_809799_1 and NP_809867_1) or (NP_809218_1 and NP_80	3	BT0954 (hypothetical protein BT_0954) — non-enzyme/family/domain annotation		1
TMPPP	Thiamine-phosphate diphosphorylase	NP_809565_1 or NP_809703_1	2	BT0790 (phosphomethylpyrimidine kinase) — no word in common with the reaction name while another alternative has		1
SERD_L	L-serine deaminase	NP_810405_1 or NP_813589_1	2	BT1492 (tryptophanase) — no word in common with the reaction name while another alternative has		1
SO4tex	Sulfate transport via diffusion (extracellular to periplasm)	NP_810107_1 or NP_812041_1	2	BT1194 (OmpA family outer membrane protein) — non-enzyme/family/domain annotation		1
TDPDRE	DTDP-4-dehydrorhamnose 3,5-epimerase	NP_809377_1 or NP_809741_1 or NP_810251_1 or NP_810262_1	4	BT1349 (hypothetical protein BT_1349) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has		1
UAGAAT	UDP-N-acetylglucosamine acyltransferase	NP_813116_1 or (NP_812271_1 and NP_813116_1)	2	BT3359 (acyl carrier protein) — no word in common with the reaction name while another alternative has		1
VALtex	L-valine transport via diffusion (extracellular to periplasm)	NP_810107_1 or NP_812041_1	2	BT1194 (OmpA family outer membrane protein) — non-enzyme/family/domain annotation		1
XYLt2	D-xylose transport in via proton symport	NP_809349_1 or NP_809707_1	2	BT0436 (arabinose-proton symporter) — no word in common with the reaction name while another alternative has		1
Zn2tex	Zinc (Zn+2) transport via diffusion (extracellular to periplasm)	NP_810107_1 or NP_812041_1	2	BT1194 (OmpA family outer membrane protein) — non-enzyme/family/domain annotation		1
