reaction	reaction_name	rule	n_alternatives	flagged_genes	or_joined_subunits	score
ACACT1r	Acetyl-CoA C-acetyltransferase	NP_384639_1 or NP_384992_1 or NP_385796_1 or NP_387368_1 or NP_438041_1	5	SMb20589 (beta-ketoadipyl CoA thiolase (plasmid)) — no word in common with the reaction name while another alternative has		1
TYRTA	Tyrosine transaminase	NP_384413_1 or NP_384661_1 or NP_385155_1 or NP_386078_1 or NP_386431_1 or NP_386609_1 or NP_387397_1 or NP_435452_1	8	SMc01969 (hypothetical protein SMc01969) — non-enzyme/family/domain annotation		1
UAGAAT	UDP-N-acetylglucosamine acyltransferase	NP_385611_1 or (NP_385249_1 and NP_385611_1)	2	SMc00573 (acyl carrier protein) — no word in common with the reaction name while another alternative has		1
UAGDP	UDP-N-acetylglucosamine diphosphorylase	NP_385763_1 or NP_385854_1	2	SMc00519 (hypothetical protein SMc00519) — non-enzyme/family/domain annotation		1
A5PISO	Arabinose-5-phosphate isomerase	NP_384678_1 or NP_437089_1	2	SMc02268 (capsule expression protein) — no word in common with the reaction name while another alternative has		1
UDPGD	UDPglucose 6-dehydrogenase	NP_385188_1 or NP_437170_1	2	SMb21051 (udpglucosegdpmannose dehydrogenase (plasmid)) — no word in common with the reaction name while another alternative has		1
UGLYCH	Ureidoglycolate hydrolase	NP_436060_1 or NP_437924_1	2	SMa1495 (aminotransferase (plasmid)) — no word in common with the reaction name while another alternative has		1
3OXCOAT	3-oxoadipyl-CoA thiolase	NP_387368_1 or NP_438041_1	2	SMc03879 (acetyl-CoA acetyltransferase) — no word in common with the reaction name while another alternative has		1
VALabcpp	L-valine transport via ABC system (periplasm)	(NP_385581_1 and NP_385582_1 and NP_385583_1 and NP_385584_1) or (NP_385029_1 and NP_386588_1 and NP_386589_1 and NP_386	2	SMc00078 (Leu/Ile/Val-binding protein) — no word in common with the reaction name while another alternative has		1
3hoxpactex	3 hydroxyphenylacetic acid transport via diffusion extracellular to periplasm	NP_387090_1 or NP_437471_1	2	SMc03109 (hypothetical protein SMc03109) — non-enzyme/family/domain annotation		1
ZN2t3pp	Zinc (Zn+2) transport out via proton antiport (periplasm)	NP_386102_1 or NP_386492_1	2	SMc02724 (hypothetical protein SMc02724) — non-enzyme/family/domain annotation		1
