reaction	reaction_name	rule	n_alternatives	flagged_genes	or_joined_subunits	score
MTI	Maltose trehalose isomerase	NP_746185_1 or NP_746186_1	2	PP4060 (alpha-1,4-glucan:maltose-1-phosphate maltosyltransferase) — no word in common with the reaction name while another alternative has		1
NADH10	NADH dehydrogenase (menaquinone-8 & 0 protons)	NP_743801_1 or NP_745011_1	2	PP2867 (pyridine nucleotide-disulphide oxidoreductase family protein) — non-enzyme/family/domain annotation		1
NADH5	NADH dehydrogenase (ubiquinone-8 )	NP_742787_1 or NP_745011_1	2	PP2867 (pyridine nucleotide-disulphide oxidoreductase family protein) — non-enzyme/family/domain annotation		1
NADPHQR2	NADPH Quinone Reductase (Ubiquinone-8)	NP_742242_1 or NP_745742_1 or NP_746770_1	3	PP4661 (drug activity modulator B) — no word in common with the reaction name while another alternative has		1
NADS2	Nicotinate-mononucleotide adenylyltransferase	NP_745163_1 or NP_746974_1	2	PP3019 (carbon-nitrogen hydrolase family protein) — non-enzyme/family/domain annotation		1
NAt3_2	Sodium proton antiporter (H:NA is 2)	NP_745693_1 or NP_746088_1	2	PP3556 (membrane protein) — no word in common with the reaction name while another alternative has		1
NI2uabcpp	Nickel transport via ABC system (uptake, periplasm)	NP_744789_1 or (NP_745482_1 and NP_745483_1 and NP_745484_1 and NP_745485_1 and NP_745486_1)	2	PP2645 (ATP-dependent magnesium transporter) — no word in common with the reaction name while another alternative has		1
CD2t3pp	Cadmium (Cd+2) transport out via proton antiport (periplasm)	NP_742196_1 or NP_746880_1	2	PP4774 (divalent cation efflux transporter) — no word in common with the reaction name while another alternative has		1
CHOLD	Choline dehydrogenase	NP_742226_1 or NP_744199_1 or NP_747165_1	3	PP2049 (alcohol dehydrogenase) — no word in common with the reaction name while another alternative has		1
CMCMSAD	4 carboxy 2 hydroxymuconate 6 semialdehyde dehydrogenase	NP_742826_1 or NP_745782_1	2	PP3646 (aldehyde dehydrogenase family protein) — non-enzyme/family/domain annotation		1
COBALT2t3pp	Cobalt (Co+2) transport out via proton antiport (periplasm)	NP_742196_1 or NP_746880_1	2	PP4774 (divalent cation efflux transporter) — no word in common with the reaction name while another alternative has		1
CYSS	Cysteine synthase	NP_743274_1 or NP_743811_1 or NP_746680_1	3	PP1113 (pyridoxal-phosphate dependent enzyme family protein) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has		1
DAGK120	Diacylglycerol kinase (n-C12:0)	NP_743793_1 or NP_744274_3	2	PP2125 (lipid kinase) — no word in common with the reaction name while another alternative has		1
DAGK140	Diacylglycerol kinase (n-C14:0)	NP_743793_1 or NP_744274_3	2	PP2125 (lipid kinase) — no word in common with the reaction name while another alternative has		1
DAGK141	Diacylglycerol kinase (n-C14:1)	NP_743793_1 or NP_744274_3	2	PP2125 (lipid kinase) — no word in common with the reaction name while another alternative has		1
NTP1	Nucleoside-triphosphatase (ATP)	NP_746826_1 or NP_746835_1 or NP_747006_1	3	PP4727 (chaperone protein DnaK) — non-enzyme/family/domain annotation		1
OAAt2_2pp	Oxaloacetate transport via proton symport 2 H  periplasm	NP_744206_2 or NP_744388_1	2	PP2239 (threonine/homoserine exporter) — no word in common with the reaction name while another alternative has		1
OCOAT1	3-oxoacid CoA-transferase (Succinyl-CoA: acetoacetate)	NP_747367_2 or (NP_745266_1 and NP_745267_1)	2	PP5266 (acetyl-CoA hydrolase family protein) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has		1
ORNCD	Ornithine cyclodeaminase	NP_745334_1 or NP_745670_1 or NP_746544_1	3	PP3190 (ornithine cyclodeaminase/mu-crystallin family protein) — non-enzyme/family/domain annotation		1
ORNTAC	Ornithine transacetylase	NP_743505_1 or NP_744848_1	2	PP2704 (M20/M25/M40 family peptidase) — non-enzyme/family/domain annotation		1
OXOAEL	3-oxoadipate enol-lactone hydrolase	NP_742716_1 or NP_743539_1	2	PP0553 (acetoin cleaving system dihydrolipoyllysine-residue acetyltransferase) — no word in common with the reaction name while another alternative has		1
OXPTNDH	Glutarate-semialdehyde:NAD+ oxidoreductase	NP_742381_1 or NP_744611_1 or NP_744636_1 or NP_746535_1	4	PP2463 (nucleic acid cold-shock chaperone) — non-enzyme/family/domain annotation		1
P5CD	1-pyrroline-5-carboxylate dehydrogenase	NP_743416_1 or NP_747050_1	2	PP1256 (alpha-ketoglutarate semialdehyde dehydrogenase) — no word in common with the reaction name while another alternative has		1
PDE1	3',5'-cyclic-nucleotide phosphodiesterase	NP_745808_1 or NP_745965_1	2	PP3672 (hypothetical protein PP_3672) — non-enzyme/family/domain annotation		1
PE120abcpp	Phosphatidylethanolamine transport via ABC system (n-C12:0, periplasm)	NP_744268_1 or NP_745604_1 or NP_747038_1	3	PP4935 (lipid A export ATP-binding/permease MsbA) — no word in common with the reaction name while another alternative has		1
PE160abcpp	Phosphatidylethanolamine transport via ABC system (n-C16:0, periplasm)	NP_744268_1 or NP_745604_1 or NP_747038_1	3	PP4935 (lipid A export ATP-binding/permease MsbA) — no word in common with the reaction name while another alternative has		1
