reaction	reaction_name	rule	n_alternatives	flagged_genes	or_joined_subunits	score
KAT2	3-ketoacyl-CoA thiolase	NP_715662_1 or NP_717288_1 or NP_718652_1	3	SO3089 (anaerobic fatty oxidation complex beta subunit FadI) — no word in common with the reaction name while another alternative has	SO0020 (aerobic fatty oxidation complex 3-ketoacyl-CoA thiolase beta subunit FadA) | SO3089 (anaerobic fatty oxidation complex beta subunit FadI)	3
KAT3	3-ketoacyl-CoA thiolase	NP_715662_1 or NP_718652_1	2	SO3089 (anaerobic fatty oxidation complex beta subunit FadI) — no word in common with the reaction name while another alternative has	SO0020 (aerobic fatty oxidation complex 3-ketoacyl-CoA thiolase beta subunit FadA) | SO3089 (anaerobic fatty oxidation complex beta subunit FadI)	3
KAT7	3-ketoacyl-CoA thiolase	NP_715662_1 or NP_718652_1	2	SO3089 (anaerobic fatty oxidation complex beta subunit FadI) — no word in common with the reaction name while another alternative has	SO0020 (aerobic fatty oxidation complex 3-ketoacyl-CoA thiolase beta subunit FadA) | SO3089 (anaerobic fatty oxidation complex beta subunit FadI)	3
Kt3pp	Potassium transport out via proton antiport (periplasm)	NP_716629_1 or NP_717098_1 or NP_717258_1 or NP_720072_1	4	SO1481 (glutathione-gated K(+)-efflux system KefC) — no word in common with the reaction name while another alternative has | SO1647 (glutathione-gated K(+)-efflux system KefB) — no word in common with the reaction name while another alternative has | SO4555 (drug:H+ antiporter DHA1 family) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has		3
NTD1	5'-nucleotidase (dUMP)	NP_716012_1 or NP_717608_1 or NP_718071_1 or NP_718871_1 or NP_718988_2	5	SO0372 (5' nucleotide phosphatase YjjG) — no word in common with the reaction name while another alternative has | SO2484 (5' nucleotidase YfbR) — no word in common with the reaction name while another alternative has | SO3435 (5'/3'-nucleotidase SurE) — no word in common with the reaction name while another alternative has		3
NTRIR4pp	Nitrite Reductase (Menaquinole-8, periplasm)	(NP_717386_1 and NP_719510_1 and NP_719591_1 and NP_720085_1) or (NP_717391_2 and NP_719510_1 and NP_719591_1 and NP_720	2	SO1777 (extracelllular iron oxide respiratory system periplasmic decaheme cytochrome c component MtrA) — no word in common with the reaction name while another alternative has | SO1782 (extracellular respiratory system periplasmic decaheme cytochrome c component MtrD) — no word in common with the reaction name while another alternative has | SO4061 (sulfur reductase FeS subunit PhsB) — no word in common with the reaction name while another alternative has		3
PDH	Pyruvate dehydrogenase	(NP_716061_1 and NP_716062_1 and NP_716063_1) or (NP_716061_1 and NP_716063_1 and NP_717931_1)	2	SO0425 (dihydrolipoamide acetyltransferase AceF) — no word in common with the reaction name while another alternative has | SO0426 (dihydrolipoamide dehydrogenase LpdA) — no word in common with the reaction name while another alternative has | SO2341 (3-methyl-2-oxobutanoate dehydrogenase complex E2 component BkdB) — no word in common with the reaction name while another alternative has		3
RBFSa	Riboflavin synthase	NP_717892_1 or NP_719015_1	2	SO2296 (6,7-dimethyl-8-ribityllumazine synthase alpha subunit RibC) — no word in common with the reaction name while another alternative has	SO2296 (6,7-dimethyl-8-ribityllumazine synthase alpha subunit RibC) | SO3466 (riboflavin synthase beta subunit RibE)	3
RBFSb	Riboflavin synthase	NP_719015_1 or NP_719017_1	2	SO3468 (riboflavin synthase alpha subunit RibC-like protein) — non-enzyme/family/domain annotation	SO3466 (riboflavin synthase beta subunit RibE) | SO3468 (riboflavin synthase alpha subunit RibC-like protein)	3
HACD2	3-hydroxyacyl-CoA dehydrogenase (3-oxohexanoyl-CoA)	NP_715663_1 or NP_718651_2	2	SO3088 (anaerobic fatty oxidation complex alpha subunit FadJ) — no word in common with the reaction name while another alternative has	SO0021 (aerobic fatty oxidation complex 3-hydroxyacyl-CoA epimerase alpha subunit FadB) | SO3088 (anaerobic fatty oxidation complex alpha subunit FadJ)	3
KAT6	3-ketoacyl-CoA thiolase	NP_715662_1 or NP_718652_1	2	SO3089 (anaerobic fatty oxidation complex beta subunit FadI) — no word in common with the reaction name while another alternative has	SO0020 (aerobic fatty oxidation complex 3-ketoacyl-CoA thiolase beta subunit FadA) | SO3089 (anaerobic fatty oxidation complex beta subunit FadI)	3
KAT4	3-ketoacyl-CoA thiolase	NP_715662_1 or NP_718652_1	2	SO3089 (anaerobic fatty oxidation complex beta subunit FadI) — no word in common with the reaction name while another alternative has	SO0020 (aerobic fatty oxidation complex 3-ketoacyl-CoA thiolase beta subunit FadA) | SO3089 (anaerobic fatty oxidation complex beta subunit FadI)	3
NTD5	5'-nucleotidase (dTMP)	NP_716012_1 or NP_717608_1 or NP_718071_1 or NP_718871_1 or NP_718988_2	5	SO0372 (5' nucleotide phosphatase YjjG) — no word in common with the reaction name while another alternative has | SO2484 (5' nucleotidase YfbR) — no word in common with the reaction name while another alternative has | SO3435 (5'/3'-nucleotidase SurE) — no word in common with the reaction name while another alternative has		3
NTRIR3pp	Nitrite Reductase (Ubiquinole-8, periplasm)	(NP_717386_1 and NP_719510_1 and NP_719591_1 and NP_720085_1) or (NP_717391_2 and NP_719510_1 and NP_719591_1 and NP_720	2	SO1777 (extracelllular iron oxide respiratory system periplasmic decaheme cytochrome c component MtrA) — no word in common with the reaction name while another alternative has | SO1782 (extracellular respiratory system periplasmic decaheme cytochrome c component MtrD) — no word in common with the reaction name while another alternative has | SO4061 (sulfur reductase FeS subunit PhsB) — no word in common with the reaction name while another alternative has		3
NAt3pp	Sodium transport out via proton antiport (cytoplasm to periplasm)	NP_716629_1 or NP_716986_1 or NP_718123_1 or NP_720072_1	4	SO1366 (sodium:proton antiporter CPA1 family) — non-enzyme/family/domain annotation | SO2537 (sodium:proton antiporter CPA1 family) — non-enzyme/family/domain annotation | SO4555 (drug:H+ antiporter DHA1 family) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has		3
CBPS	Carbamoyl-phosphate synthase (glutamine-hydrolysing)	NP_716766_1 or NP_716767_1 or NP_716921_1 or (NP_716766_1 and NP_716767_1)	4	SO1301 (aspartate carbamoyltransferase PyrB) — no word in common with the reaction name while another alternative has	SO1141 (carbamoyl-phosphate synthase small subunit CarA) | SO1142 (carbamoyl-phosphate synthase large subunit CarB)	3
RNDR2	Ribonucleoside-diphosphate reductase (GDP)	NP_716044_1 or (NP_718005_1 and NP_718006_1) or (NP_716044_1 and NP_718005_1 and NP_718006_1) or (NP_716089_1 and NP_718	4	SO0406 (thioredoxin 1 TrxA) — no word in common with the reaction name while another alternative has | SO0452 (thioredoxin 2 TrxC) — no word in common with the reaction name while another alternative has		2
