gene	model_gene	n_conditions_important	desc	gene_reactions	ko_growth	bypass
SO3435	NP_718988_2	7	stationary-phase survival protein SurE (NCBI ptt file)	NTD8;NTD11;NTD2;NTD10;NTD9;PPA2;NTD1;NTD4;NTD5;NTD7;NTD12;NTD6;PPA;NTD3	0.09670002118994972	ADSS[uses imp_c; v=0.028; rev=False; gpr=yes] | IMPD[uses imp_c; v=0.0228; rev=False; gpr=yes] | UMPK[uses ump_c; v=0.0403; rev=True; gpr=yes] | GMPS2[uses xmp_c; v=0.0228; rev=False; gpr=yes] | GK1[uses gmp_c; v=0.0228; rev=True; gpr=yes] | TMDS[uses dump_c; v=0.00245; rev=False; gpr=yes] | CYTK1[uses cmp_c; v=0.103; rev=True; gpr=yes] | DTMPK[uses dtmp_c; v=0.00245; rev=True; gpr=yes] | AHCi[makes adn_c; v=9.36e-06; rev=True; gpr=none] | PPA:isozyme[NP_717785_1 or NP_718988_2 or NP_719718_]
SO3736	NP_719275_2	7	phosphoadenosine phosphosulfate reductase (NCBI ptt file)	PAPSR2;PAPSR	0.09670002118994972	PAPSR:isozyme[NP_716044_1 or NP_719275_2 or (NP_716044]
SO3901	NP_719432_1	8	lacZ expression regulator (NCBI ptt file)	PDE1;PDE4	0.09670002118994972	GMPS2[makes gmp_c; v=0.0228; rev=False; gpr=yes]
SO0424	NP_716061_1	7	pyruvate dehydrogenase complex, E1 component, pyruvate dehydrogenase (NCBI ptt file)	PDH;PDHa	0.09670002118994972	DHDPS[uses pyr_c; v=0.0415; rev=False; gpr=yes] | PFL[uses pyr_c; v=9.05; rev=False; gpr=yes] | ACHBS[uses pyr_c; v=0.0272; rev=False; gpr=yes] | ALAD_syn[uses pyr_c; v=0.357; rev=False; gpr=yes] | DXPS[uses pyr_c; v=0.103; rev=False; gpr=yes] | ACLS[uses pyr_c; v=0.0819; rev=False; gpr=yes] | PPS[uses pyr_c; v=0.543; rev=False; gpr=yes]
SO0425	NP_716062_1	7	pyruvate dehydrogenase complex, E2 component, dihydrolipoamide acetyltransferase (NCBI ptt file)	PDH	0.09670002118994972	DHDPS[uses pyr_c; v=0.0415; rev=False; gpr=yes] | PFL[uses pyr_c; v=9.05; rev=False; gpr=yes] | ACHBS[uses pyr_c; v=0.0272; rev=False; gpr=yes] | ALAD_syn[uses pyr_c; v=0.357; rev=False; gpr=yes] | DXPS[uses pyr_c; v=0.103; rev=False; gpr=yes] | ACLS[uses pyr_c; v=0.0819; rev=False; gpr=yes] | PPS[uses pyr_c; v=0.543; rev=False; gpr=yes]
SO0862	NP_716493_1	7	D-3-phosphoglycerate dehydrogenase (NCBI ptt file)	PGCD	0.09494872116724211	PGK[uses 3pg_c; v=0.323; rev=True; gpr=yes]
SO2488	NP_718075_1	4	6-phosphogluconolactonase (NCBI ptt file)	PGL	0.09670002118995574	
SO0274	NP_715914_2	6	phosphoenolpyruvate carboxylase (NCBI ptt file)	PPC	0.09670002118994926	ENO[uses pep_c; v=-0.462; rev=True; gpr=yes] | DDPA[uses pep_c; v=0.0357; rev=False; gpr=yes] | UAGCVT[uses pep_c; v=0.00936; rev=False; gpr=yes] | PSCVT[uses pep_c; v=0.0357; rev=True; gpr=yes] | MDH[makes oaa_c; v=0.678; rev=True; gpr=yes]
SO2644	NP_718228_1	6	phosphoenolpyruvate synthase (NCBI ptt file)	PPS	0.09670002118995397	DHDPS[uses pyr_c; v=0.0415; rev=False; gpr=yes] | PFL[uses pyr_c; v=9.59; rev=False; gpr=yes] | ACHBS[uses pyr_c; v=0.0272; rev=False; gpr=yes] | ALAD_syn[uses pyr_c; v=0.398; rev=False; gpr=yes] | DXPS[uses pyr_c; v=0.103; rev=False; gpr=yes] | ACLS[uses pyr_c; v=0.0819; rev=False; gpr=yes] | PPCK[makes pep_c; v=0.501; rev=False; gpr=yes]
SO_1223	NP_716846_2	7	phosphoserine phosphatase (RefSeq)	PSP_L	0.09670002118994972	PSP_L:isozyme[NP_715819_1 or NP_716846_2]
SO2342	NP_717932_1	6	quinolinate synthetase complex, subunit A (NCBI ptt file)	QULNS	0.09670002118995112	FBA[uses dhap_c; v=-0.0889; rev=True; gpr=yes]
SO2490	NP_718077_1	5	transcriptional regulator, RpiR family (NCBI ptt file)	S7PI	0.09670002118994972	TKT1[uses s7p_c; v=-0.0172; rev=True; gpr=yes]
SO3726	NP_719266_2	7	sulfate adenylyltransferase, subunit 1 (NCBI ptt file)	SADT;SADT2	0.09647750624185437	Growth[uses so4_c; v=0.0965; rev=False; gpr=none] | SADT2:isozyme[NP_715869_1 or (NP_719266_2 and NP_71926]
SO3727	NP_719267_1	7	sulfate adenylyltransferase, subunit 2 (NCBI ptt file)	SADT;SADT2	0.09647750624185437	Growth[uses so4_c; v=0.0965; rev=False; gpr=none] | SADT2:isozyme[NP_715869_1 or (NP_719266_2 and NP_71926]
