model_gene	browser_gene
NP_718428_1	SO2856
NP_718847_1	SO3293
NP_720117_2	SO4601
NP_718681_1	SO3120
NP_719762_1	SO4235
NP_719760_1	SO4233
NP_719761_1	SO4234
NP_719763_1	SO4236
NP_715737_1	SO0095
NP_717288_1	SO1677
NP_718065_1	SO2478
NP_719487_1	SO3957
NP_719360_1	SO3827
NP_719305_1	SO3768
NP_720426_1	SOA0098
NP_715671_1	SO0029
NP_717410_1	SO1802
NP_715666_1	SO0024
NP_715699_1	SO0057
NP_715670_1	SO0028
NP_719806_1	SO4281
NP_717258_1	SO1647
NP_717098_1	SO1481
NP_720072_1	SO4555
NP_720206_1	SO4690
NP_716900_1	SO1277
NP_716597_1	SO0968
NP_717138_2	SO1521
NP_717755_1	SO2155
NP_716787_2	SO1162
NP_716786_1	SO1161
NP_717253_1	SO1642
NP_720249_1	SO4733
NP_718498_2	SO2928
NP_717561_1	SO1954
NP_716166_1	SO0530
NP_717100_1	SO1483
NP_720222_1	SO4706
NP_717811_1	SO2213
NP_715976_1	SO0336
NP_719176_1	SO3634
NP_715985_1	SO0345
NP_715984_1	SO0344
NP_718358_1	SO2777
NP_715920_1	SO0280
NP_716793_1	SO1168
NP_719753_1	SO4225
NP_716266_1	SO0633
NP_716789_2	SO1164
NP_717984_1	SO2394
NP_716627_1	SO0999
NP_716401_1	SO0770
NP_719647_1	SO4118
NP_719387_1	SO3855
NP_718866_1	SO3312
NP_718990_1	SO3437
NP_718991_1	SO3438
NP_716558_1	SO0929
NP_716449_1	SO0818
NP_716658_1	SO1030
NP_718174_1	SO2588
NP_717927_1	SO2337
NP_716770_1	SO1145
NP_719496_1	SO3966
NP_715983_1	SO0343
NP_718010_1	SO2420
NP_715690_2	SO0048
YP_007001415_1	SO_4538
NP_719740_1	SO4212
NP_717780_2	SO2180
NP_718441_1	SO2869
NP_718150_1	SO2564
NP_720175_1	SO4660
NP_718842_2	SO3288
NP_716791_1	SO1166
NP_717643_1	SO2040
NP_717289_1	SO1678
NP_719971_1	SO4450
NP_720191_1	SO4676
NP_717473_1	SO1865
NP_719967_1	SO4446
NP_719497_2	SO3967
NP_719968_1	SO4447
YP_007001347_1	SO_1799
NP_719142_1	SO3599
NP_719143_1	SO3600
NP_719396_1	SO3864
NP_719145_1	SO3602
NP_719397_1	SO3865
NP_719144_1	SO3601
NP_719395_2	SO3863
NP_716501_1	SO0870
NP_715707_1	SO0065
NP_715709_1	SO0067
NP_719081_1	SO3534
NP_719274_1	SO3735
NP_719970_1	SO4449
NP_715779_1	SO0137
NP_717401_1	SO1792
NP_719584_1	SO4054
NP_716983_1	SO1363
NP_718468_1	SO2896
NP_719064_1	SO3517
NP_716643_1	SO1015
NP_716639_1	SO1011
NP_716648_1	SO1020
NP_716637_1	SO1009
NP_716647_1	SO1019
NP_716642_1	SO1014
NP_716645_1	SO1017
NP_716646_1	SO1018
NP_716641_1	SO1013
NP_716644_1	SO1016
NP_716638_1	SO1010
NP_716640_1	SO1012
NP_716649_1	SO1021
NP_719451_1	SO3920
NP_716730_1	SO1104
NP_716733_1	SO1107
NP_716734_1	SO1108
NP_716729_1	SO1103
NP_716731_1	SO1105
NP_716732_1	SO1106
