iem_abbr	call_index	iem_name	entrez_gene_ids	knockout_reaction_patterns	biomarker_reaction	vmh_metabolite	model_compartment	biofluid_tested	expected_direction	reported_biofluids_raw	label_raw	also_in_recon3d_branch	source_header_line	source_call_line
GACR	25	GACR Gyrate Atrophy Of The Choroid And Retina	4942.1	_ORNTArm	EX_arg_L[u]	arg_L	u	urine	Increased	urine	Increased (urine)	False	1055	1100
GACR	25	GACR Gyrate Atrophy Of The Choroid And Retina	4942.1	_ORNTArm	DM_gln_L[bc]	gln_L	bc	blood	Decreased	blood	Decreased (blood)	False	1055	1100
GACR	25	GACR Gyrate Atrophy Of The Choroid And Retina	4942.1	_ORNTArm	EX_glu_L[u]	glu_L	u	urine	Decreased	blood	Decreased (blood)	True	1055	1100
GACR	25	GACR Gyrate Atrophy Of The Choroid And Retina	4942.1	_ORNTArm	EX_lys_L[u]	lys_L	u	urine	Decreased	urine/blood	Decreased (urine/blood)	True	1055	1100
GACR	25	GACR Gyrate Atrophy Of The Choroid And Retina	4942.1	_ORNTArm	DM_lys_L[bc]	lys_L	bc	blood	Decreased	urine/blood	Decreased (urine/blood)	False	1055	1100
GACR	25	GACR Gyrate Atrophy Of The Choroid And Retina	4942.1	_ORNTArm	EX_orn[u]	orn	u	urine	Increased	urine/blood/csf	Increased (urine/blood/CSF)	True	1055	1100
GACR	25	GACR Gyrate Atrophy Of The Choroid And Retina	4942.1	_ORNTArm	DM_orn[bc]	orn	bc	blood	Increased	urine/blood/csf	Increased (urine/blood/CSF)	False	1055	1100
GACR	25	GACR Gyrate Atrophy Of The Choroid And Retina	4942.1	_ORNTArm	DM_orn[csf]	orn	csf	csf	Increased	csf	Increased (CSF)	False	1055	1100
HFI	26	HFI Hereditary Fructose Intolerance	229.1	_FBA5	EX_fru[u]	fru	u	urine	Increased	urine/blood	Increased (urine/blood)	True	1102	1135
HFI	26	HFI Hereditary Fructose Intolerance	229.1	_FBA5	DM_fru[bc]	fru	bc	blood	Increased	urine/blood	Increased (urine/blood)	False	1102	1135
HMG	27	HMG Hmg-Coa Lyase Deficiency	3155.1	_HMGLx	DM_c6dc[bc]	c6dc	bc	blood	Increased	blood	Increased (blood)	False	1137	1170
HMG	27	HMG Hmg-Coa Lyase Deficiency	3155.1	_HMGLx	EX_adpac[u]	adpac	u	urine	Increased	urine	Increased (urine)	True	1137	1170
HCYS	28	HCYS Homocystinuria	875.1	_CYSTS;_SELCYSTS	DM_met_L[bc]	met_L	bc	blood	Increased	blood	Increased (blood)	False	1172	1218
HCYS	28	HCYS Homocystinuria	875.1	_CYSTS;_SELCYSTS	DM_orn[bc]	orn	bc	blood	Increased	blood	Increased (blood)	False	1172	1218
HCYS	28	HCYS Homocystinuria	875.1	_CYSTS;_SELCYSTS	EX_Lhcystin[u]	Lhcystin	u	urine	Increased	urine/blood	Increased (urine/blood)	True	1172	1218
HCYS	28	HCYS Homocystinuria	875.1	_CYSTS;_SELCYSTS	DM_Lhcystin[bc]	Lhcystin	bc	blood	Increased	urine/blood	Increased (urine/blood)	False	1172	1218
HCYS	28	HCYS Homocystinuria	875.1	_CYSTS;_SELCYSTS	EX_hcys_L[u]	hcys_L	u	urine	Increased	urine/blood	Increased (urine/blood)	True	1172	1218
HCYS	28	HCYS Homocystinuria	875.1	_CYSTS;_SELCYSTS	DM_hcys_L[bc]	hcys_L	bc	blood	Increased	urine/blood	Increased (urine/blood)	False	1172	1218
HCYS	28	HCYS Homocystinuria	875.1	_CYSTS;_SELCYSTS	EX_cyst_L[u]	cyst_L	u	urine	Decreased	urine	Decreased (urine)	True	1172	1218
HLYS1	29	HLYS1 Hyperlysinemia I, Familial	10157.1	_SACCD3m;_SACCD4m;_r0525	EX_lys_L[u]	lys_L	u	urine	Increased	urine/blood	Increased (urine/blood)	True	1219	1253
HLYS1	29	HLYS1 Hyperlysinemia I, Familial	10157.1	_SACCD3m;_SACCD4m;_r0525	DM_lys_L[bc]	lys_L	bc	blood	Increased	urine/blood	Increased (urine/blood)	False	1219	1253
